00:33:49.104 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Kreis.osm
00:34:00.906 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:34:00.906 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.4793143821538992 Minuten
00:34:01.172 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:01.484 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:01.780 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:01.983 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - ReadJam: non-empty iterator
00:34:01.983 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Laden: Neue Geschwindigkeit von 34.99992 Kilometer pro Stunde für Knoten 14 festgelegt!
00:34:01.998 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 14 wurde geändert, neue Geschwindigkeit ist 34.99992 Kilometer pro Stunde
00:34:01.998 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:34:02.014 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:34:02.014 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.4793143821538992 Minuten
00:34:02.077 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:02.374 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:02.670 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:02.982 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:03.076 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - ReadJam: non-empty iterator
00:34:03.076 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Laden: Neue Geschwindigkeit von 17.49996 Kilometer pro Stunde für Knoten 14 festgelegt!
00:34:03.091 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 14 wurde geändert, neue Geschwindigkeit ist 17.49996 Kilometer pro Stunde
00:34:03.091 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:34:03.107 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:34:03.107 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.4793143821538992 Minuten
00:34:03.279 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:03.575 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:03.871 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:04.183 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Lines - ReadJam: non-empty iterator
00:34:04.183 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Laden: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 7 festgelegt!
00:34:04.183 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.4793143821538992 Minuten
00:34:04.199 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 7 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
00:34:04.199 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:34:04.215 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#15 #355550094 -> #1320917075, #6 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #12 #1505625143 -> #52699805, #4 #52699805 - #1505625024, #13 #1505625032 - #1505625024)
00:34:04.215 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.4793143821538992 Minuten
00:34:04.417 INFO  [b.liftweb.Boot] [] - Shutting down
00:34:04.433 DEBUG [a.event.EventStream] [EventStream] - shutting down: StandardOutLogger started
