23:40:51.591 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:51.591 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.205554302236663 Minuten
23:40:51.762 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:52.059 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:52.371 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:52.669 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:52.669 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Neue Geschwindigkeit von 25.0 Kilometer pro Stunde für Knoten 13 festgelegt!
23:40:52.685 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 13 wurde geändert, neue Geschwindigkeit ist 25.0 Kilometer pro Stunde
23:40:52.685 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:52.700 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:52.700 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.205554302236663 Minuten
23:40:52.965 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:53.262 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:53.558 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:53.761 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Neue Geschwindigkeit von 34.99992 Kilometer pro Stunde für Knoten 14 festgelegt!
23:40:53.777 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 14 wurde geändert, neue Geschwindigkeit ist 34.99992 Kilometer pro Stunde
23:40:53.777 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:53.792 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:53.792 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.205554302236663 Minuten
23:40:53.870 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:54.167 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:54.463 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:54.759 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
23:40:54.869 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Neue Geschwindigkeit von 17.49996 Kilometer pro Stunde für Knoten 14 festgelegt!
23:40:54.884 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Weg 14 wurde geändert, neue Geschwindigkeit ist 17.49996 Kilometer pro Stunde
23:40:54.884 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Pfad gefunden: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:54.900 INFO  [d.f.a.rest.Rest] [] - Wegänderung: Dijsktra ausgeführt - Pfad gefunden von Knoten 355550094 nach Knoten 1505625032: MutableList(#5 #355550094 -> #1320917075, #3 #1320917075 -> #230536443, #10 #230536443 -> #1505625143, #11 #1505625143 -> #52699805, #12 #52699805 - #1505625024, #1 #1505625032 - #1505625024)
23:40:54.900 INFO  [d.f.a.rest.Rest] [] - Wegänderung: neue Pfadlänge: 863.5749385738904 Meter, neue Fahrtzeit: 1.205554302236663 Minuten
23:40:55.071 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Aktueller Pfad: Länge - 863.5749385738904 Meter, Fahrtzeit - 1.205554302236663 Minuten
