14:09:49.654 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 30.000000000000004 Kilometer pro Stunde für Knoten 147
14:09:50.247 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 35.00002800000001 Kilometer pro Stunde für Knoten 126
14:09:50.855 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 13.999968 Kilometer pro Stunde für Knoten 142
14:09:51.448 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 25.000000000000004 Kilometer pro Stunde für Knoten 102
14:09:52.041 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 45.0 Kilometer pro Stunde für Knoten 27
14:09:52.649 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 6.999984 Kilometer pro Stunde für Knoten 124
14:09:53.242 INFO  [d.f.a.antnet.JamGen] [akka://AntScout/user/antScout/jamgen] - Stauerzeugung - Zufall: Geschwindigkeit von 40.00000000000001 Kilometer pro Stunde für Knoten 52
14:23:03.205 INFO  [b.liftweb.Boot] [] - Shutting down
14:23:03.336 DEBUG [a.event.EventStream] [EventStream] - shutting down: StandardOutLogger started
14:24:21.974 INFO  [d.f.a.osm.OsmMap] [] - Loading file maps/Altona-Wedel.osm
14:24:22.239 INFO  [d.f.a.osm.OsmMap] [] - Initializing
14:24:22.239 INFO  [d.f.a.osm.OsmMap] [] - Parsing nodes
14:24:22.364 INFO  [d.f.a.osm.OsmMap] [] - 7983 nodes parsed in 125 milliseconds
14:24:22.364 INFO  [d.f.a.osm.OsmMap] [] - Parsing ways
14:24:24.111 INFO  [d.f.a.osm.OsmMap] [] - 1914 ways parsed in 1747 milliseconds
14:24:24.111 INFO  [d.f.a.osm.OsmMap] [] - Computing node ways mapping
14:24:24.329 INFO  [d.f.a.osm.OsmMap] [] - Node ways mapping with 7983 elements computed, took 171 ms
